shangpai_date,url,price,title,address,price_new,xingshi
2010-10,https://www.guazi.com/wh/c2c2044a34758addx.htm,¥2.88            ,雪铁龙世嘉 2010款 两厢 1.6L 手动尚乐版,武汉,"
                            新车指导价11.80万(含税)
                    ",5.8万公里
2014-09,https://www.guazi.com/wh/2325edb096ae1c8fx.htm,¥3.58            ,东风风行菱智 2014款 V3 1.5L 5座标准型I,武汉,"
                            新车指导价6.20万(含税)
                    ",1.04万公里
2013-06,https://www.guazi.com/wh/2c6852c101440d7fx.htm,¥2.20            ,奇瑞QQ 2013款 1.0L 手动快乐版,武汉,"
                            新车指导价4.30万(含税)
                    ",6.81万公里
2015-09,https://www.guazi.com/wh/09d7a62a40e5d281x.htm,¥5.20            ,雪铁龙爱丽舍 2014款 1.6L 手动时尚型,武汉,"
                            新车指导价9.10万(含税)
                    ",7.6万公里
2009-11,https://www.guazi.com/wh/5ee3de59f16226ecx.htm,¥3.20            ,海马普力马 2010款 1.8L 自动5座舒适,武汉,"
                            新车指导价10.80万(含税)
                    ",2.19万公里
2012-03,https://www.guazi.com/wh/e281eaf89f346262x.htm,¥13.50            ,雷诺科雷傲 2012款 2.5L 四驱舒适导航版(进口),武汉,"
                            新车指导价30.00万(含税)
                    ",8.8万公里
2010-10,https://www.guazi.com/wh/30d46b05a167f5b1x.htm,¥3.70            ,大众桑塔纳志俊 2008款 1.8L 手动舒适型,武汉,"
                            新车指导价10.80万(含税)
                    ",6.04万公里
2013-08,https://www.guazi.com/wh/b6c0dfc36ec17a2cx.htm,¥47.00            ,奥迪A8L 2013款 A8L 45 TFSI quattro专享型(进口),武汉,"
                            新车指导价120.30万(含税)
                    ",13.4万公里
2014-01,https://www.guazi.com/wh/f83e397d79f7287bx.htm,¥7.29            ,哈弗H6 2013款 运动版 1.5T 手动两驱精英型,武汉,"
                            新车指导价13.40万(含税)
                    ",5.28万公里
2010-12,https://www.guazi.com/wh/922ed42903c477e0x.htm,¥9.00            ,本田思铂睿 2009款 2.4L TYPE-S,武汉,"
                            新车指导价27.80万(含税)
                    ",9.62万公里
2013-01,https://www.guazi.com/wh/70e289282f596da3x.htm,¥6.00            ,标致308 2012款 1.6L 自动优尚型,武汉,"
                            新车指导价12.40万(含税)
                    ",5.15万公里
2015-03,https://www.guazi.com/wh/a034efdc1918f011x.htm,¥1.98            ,北汽威旺306 2013款 1.2L超值版 基本型7座A12国IV,武汉,"
                            新车指导价4.10万(含税)
                    ",8.1万公里
